"individual.local.identifier","timestamp","COV.x.x","COV.y.y","COV.x.y","location.long","location.lat"
"SG-005","2017-11-09 23:03:00",12.0466607475336,34.0946144923914,-11.3615207880243,-122.244714234014,44.2109083080647
"SG-004","2017-11-10 19:53:00",2996.79279017246,40143.9758613886,-614.127015362168,-122.195809415048,44.232727056635
"SG-005","2017-11-10 20:29:00",1,1,0,-122.23955114278,44.216719582009
"SG-003","2017-11-10 20:47:00",0,0,0,-122.179031514704,44.229002332908
"SG-005","2017-11-10 21:37:00",21935.4325499667,8997.32748197389,-9659.02584254892,-122.213103417717,44.2212373501844
"SG-001","2017-11-10 22:54:00",25766.4620885427,71956.9789371837,-29362.4199608261,-122.220585678343,44.1990553508564
"SG-007","2017-11-10 23:24:00",4422.74812485342,505.385732890527,-747.278868291523,-122.219744830364,44.1896879295506
"SG-004","2017-11-11 00:15:00",564392.724057342,226473.31484908,-330987.009804515,-122.193395907203,44.2128871250904
"SG-001","2017-11-13 19:40:00",7119.43310093864,10033.1541978031,6365.66571234707,-122.219170657072,44.1960834214641
"SG-006","2017-11-13 20:16:00",882.351537730887,4806.1047788968,-1847.90950245576,-122.22151913874,44.1971843518917
"SG-005","2017-11-13 21:42:00",3968958.43471067,1544058.08822657,-2433882.2376034,-122.192034629082,44.2056864724962
"SG-004","2017-11-13 22:45:00",29.7278455703868,10.5077775459202,2.44460377568948,-122.201562476454,44.2164030128435
"SG-005","2017-11-14 19:16:00",148.455452721675,233.391225088111,-170.052103369194,-122.254690929277,44.2318766794452
"SG-002","2017-11-14 20:12:00",3.76143818110334,1.84014695983222,-2.52738970298489,-122.165559605813,44.2299229877942
"SG-004","2017-11-14 21:03:00",0,0,0,-122.203004753704,44.2277175476991
"SG-007","2017-11-14 21:16:00",3139.65630685951,13663.5753264839,-4128.81868903577,-122.210730707831,44.21850839624
"SG-001","2017-11-14 22:18:00",382.551371560549,525.71499050817,-157.039446344769,-122.23086514243,44.1984200278941
"SG-001","2017-11-15 20:23:00",192.665230742021,127.04716008573,-24.0510782715369,-122.22348531495,44.2026244549311
"SG-006","2017-11-15 21:09:00",4271.24538451566,1414.61207355992,-1905.32123577605,-122.226646873939,44.1926088357984
"SG-003","2017-11-16 19:26:00",2824.20963288461,1350.78305847919,-502.921803533453,-122.215082438177,44.2293415943201
"SG-004","2017-11-16 19:31:00",581.475838534753,502.228325436062,-162.182197426227,-122.215731825381,44.2292560801625
"SG-005","2017-11-16 21:30:00",5526.49058848056,6887.5527693152,794.145103049142,-122.242693767485,44.2173714645518
"SG-006","2017-11-17 19:07:00",5.85972412870975,27.7930227535348,-5.92038616999246,-122.221069467483,44.1873501202476
"SG-004","2017-11-17 21:20:00",1.68858964030692,2.37786531942261,-1.96840247272765,-122.213362100152,44.2191603074857
"SG-003","2017-11-17 22:10:00",0.612916965198447,5.25857049433815,-1.52526402503603,-122.177890778044,44.2267779004264
"SG-005","2017-11-17 22:40:00",5963.25423113427,1144.26437770484,-642.738306060957,-122.242753407731,44.2190701639848
"SG-003","2017-11-19 20:41:00",96.4575408572349,1089.15061177675,149.50179504739,-122.205360990109,44.2244989650824
"SG-004","2017-11-19 21:27:00",2628.21487635408,10843.4838985665,4828.63748188812,-122.168125553663,44.2267773709896
"SG-002","2017-11-19 21:46:00",165.900890016328,89.3930352993249,-113.349362288957,-122.165266322579,44.2333318699514
"SG-005","2017-11-19 22:41:00",47.8571865644755,1059.22436209054,93.1873662789244,-122.244102511192,44.2192446214316
"SG-006","2017-11-19 23:51:00",4818.07272733343,1798.5806718483,-2550.46304240496,-122.231372419931,44.1936147857197
"SG-001","2017-11-20 13:52:00",595.609830210346,3040.38473366778,-987.520588184889,-122.226574845816,44.1712073265609
"SG-004","2017-11-20 16:32:00",5099.28030190053,5905.49036178192,-1606.69099253919,-122.15603660505,44.2313405373318
"SG-006","2017-11-20 20:52:00",2795.35503058303,2184.83153723586,-731.576503018994,-122.224002350866,44.1873975675829
"SG-007","2017-11-20 21:42:00",491.242648396718,421.867208522732,117.137274071839,-122.228218428078,44.1970481703589
"SG-001","2017-11-20 22:28:00",47495.3866601549,22211.5895128425,-26569.7507525405,-122.228956505018,44.183225832621
"SG-001","2017-11-20 23:00:00",1,1,0,-122.244444129564,44.175724577106
"SG-006","2017-11-21 00:04:00",0,0,0,-122.235085469626,44.1881241534161
"SG-001","2017-11-21 00:17:00",1567.06076136102,1427.75292731549,-525.161856298896,-122.246250124831,44.1773066035581
"SG-005","2017-11-21 12:52:00",361.849751555234,94.4053534129031,170.583525144426,-122.228062631293,44.2145847002524
"SG-001","2017-11-21 15:00:00",1274.21900714263,662.455430384788,15.6784333629172,-122.240657809799,44.1831156498125
"SG-007","2017-11-21 15:48:00",0,0,0,-122.231189305809,44.1960238279869
"SG-004","2017-11-21 18:43:00",1,1,0,-122.174284810552,44.2208400473738
"SG-007","2017-11-21 20:24:00",6517.94897000948,2667.95500094663,467.803119325764,-122.228364759955,44.1920987256021
"SG-005","2017-11-21 21:26:00",447.899633726813,1003.03916207374,516.05587716148,-122.223375925762,44.2149372471585
"SG-005","2017-11-21 21:50:00",1,1,0,-122.228929746439,44.214280553866
"SG-002","2017-11-21 23:04:00",38.9045398379223,102.350593160081,-3.73911153556733,-122.171268414863,44.2318788850761
"SG-001","2017-11-27 19:45:00",1899.85349208758,6973.96790827392,-1065.32342263737,-122.241317772184,44.1862965970663
"SG-003","2017-11-27 21:24:00",9105.23224628754,17163.9231689016,-12173.5693794499,-122.218960501197,44.2128101252179
"SG-001","2017-11-29 14:01:00",858.468447551964,1421.56111666365,1084.53818859617,-122.20198556418,44.1979038191495
"SG-005","2017-11-29 19:37:00",1,1,0,-122.224997328772,44.2134616652877
"SG-001","2017-11-29 20:20:00",1235.42086967137,946.663615519599,-694.2275887206,-122.223319925805,44.2043597320464
"SG-007","2017-11-29 20:57:00",0,0,0,-122.23342246573,44.2031521847014
"SG-002","2017-11-29 22:41:00",753.782029675335,2546.20458226233,-1227.26198380438,-122.163178301281,44.2210485061631
"SG-001","2017-11-29 22:46:00",1,1,0,-122.217782519654,44.1986743175082
