"","SG-001.spring","SG-001_2.spring","SG-003.spring","SG-005.spring","SG-006.spring","SG-008.spring","SG-009.spring","SG-010.spring","SG-011.spring","SG-001_2.summer","SG-006.summer","SG-008.summer","SG-009.summer","SG-010.summer","SG-011.summer","SG-013.summer","SG-015.summer","SG-025.summer","SG-001.fall","SG-001_2.fall","SG-002.fall","SG-003.fall","SG-004.fall","SG-005.fall","SG-006.fall","SG-007.fall","SG-008.fall","SG-009.fall","SG-010.fall","SG-011.fall","SG-012.fall","SG-013.fall","SG-014.fall","SG-015.fall","SG-016.fall","SG-017.fall","SG-018.fall","SG-019.fall","SG-020.fall","SG-021.fall","SG-022.fall"
"SG-002.fall",0.103142333102511,0.185855752503574,0.418352561920213,0.260225566711935,0.280626139456852,0.040424232524263,0.186141633759967,0.31780374919392,0.28641359627233,0.209909369789628,0.148147479729698,0.00627609387545059,0.27761337529231,0.00188713954079986,0.16273509607992,0.900037522981586,0.00084979178166712,0.0106168702497895,0.10708891923446,0.714949518188488,1,0.490346119139451,0.649939804434752,0.231812704371804,0.473931819933753,0.259782183748011,0.0581468939804907,0.245748662466525,0.342354481640621,0.343594756674762,0.265335157166691,0.557863039363495,0.28722502103395,3.47951196303318e-05,0.386951720895574,8.69171453335577e-05,0.000140347197469659,0.000577588502709534,0,0.289452987311971,9.64719615685004e-05
"SG-003.fall",0.115478186861298,0.619315232242879,0.894929176361483,0.631973945483486,0.53262438337744,0.00568749671277511,0.673949023942137,0.458509350401637,0.667746185919918,0.743863598628229,0.410383707733581,0.000248746907498149,0.864086962245883,0.000658051945558403,0.516920455963651,0.909301577948249,1.30496636605972e-05,0.00371331302535642,0.14985310660705,0.82311353133856,0.490346119139451,1,0.845716842666444,0.496477362854561,0.651975671911178,0.551561580656738,0.00986082846323455,0.776039358874917,0.611563936560832,0.772278324549071,0.0205085085683738,0.193607654509713,0.739607762467609,0.000100202603211055,0.661275503395872,0.000182302231216264,0,3.86928273075622e-05,5.45653792711865e-05,0.493204859263794,0.000226426919229525
"SG-004.fall",0.130783986022509,0.278106626076213,0.651930132433819,0.445270131601591,0.491744181488018,0.00241916825873448,0.347740455196044,0.365781050282575,0.546210030859783,0.416360821530723,0.298980020459352,4.85148837204758e-06,0.563095284330995,1.64709753919685e-06,0.300960142664403,0.752830448735143,0,0.000321217752556939,0.169897626034163,0.708347307406886,0.649939804434752,0.845716842666444,1,0.462549883645151,0.614457430508086,0.480495082869029,0.00362594956923155,0.533315517570522,0.562780360093129,0.677086151963399,0.00479174642614074,0.254081780387712,0.589020744851516,0,0.576016312200613,2.95481383756485e-09,0,0,0,0.350118837484288,4.0274971642219e-09
"SG-005.fall",0.456412542827232,0.434449961026048,0.635676802042724,0.942314501048181,0.799652949124148,9.12762476114602e-08,0.498316195367778,0.272349659255184,0.863528440717236,0.356571069396086,0.668911036191989,0,0.513187518337369,0,0.556252221415879,0.952460407851354,0,0,0.522464430552253,0.772956420843316,0.231812704371804,0.496477362854561,0.462549883645151,1,0.732268045039408,0.813457678126742,5.24473832123001e-07,0.606155882640711,0.757762841645302,0.961557707313941,0.0336297618374149,0.0195531643528845,0.902522091581804,0,0.754724106031125,0,0,0,0,0.224551848399214,0
"SG-006.fall",0.508739853825713,0.401156343892614,0.674628869173364,0.745290165506566,0.943868532434334,0.0167623999205205,0.457371643685933,0.26506227825431,0.906473088499196,0.470333222041917,0.869921075641819,0.00241754220979003,0.584594461682848,0.00121170374043179,0.570320128075988,0.890870894891899,0.000134510183597666,0.00217312645317743,0.730339430063055,0.7931774325181,0.473931819933753,0.651975671911178,0.614457430508086,0.732268045039408,1,0.905711439451809,0.0229851019772524,0.568359254043849,0.339828003783065,0.863692099269606,0.171086095100091,0.310281137578805,0.869184107283583,4.94180577953767e-05,0.963819893903514,0.000102391294884434,9.5445694885819e-06,0.00012368118908588,3.20387226070484e-07,0.353947749163917,6.54534563058632e-05
"SG-007.fall",0.753749408106928,0.394417811873785,0.681282713391866,0.859970620621108,0.975934315191787,0.000625790883188833,0.432413038072959,0.263739497332139,0.847253616943435,0.402010638871513,0.825579372149483,6.95948196986743e-05,0.505203669932202,0.000404764890682695,0.484127835870939,0.930541601110737,6.53310925328091e-05,0.00269417341566018,0.819113772685366,0.769400970863826,0.259782183748011,0.551561580656738,0.480495082869029,0.813457678126742,0.905711439451809,1,0.00190890747189725,0.537478281255761,0.537273750445963,0.903712003803159,0.103621551482701,0.112282886809711,0.891984053380551,0.000368631749905095,0.971264351830796,0.00019866728110254,0,0.000139659374711798,0.000175078686958262,0.272046955231896,0.000229408548321406
"SG-008.fall",0,0.247505925573698,0.182112258728393,0.000746026784871805,0.020456014800067,0.860025173631412,0.00242878659679686,0.716984552740026,0.055307606701623,0.0144633067481103,0.101615975049612,0.636939841482269,0.0267476291639118,0.425346337495673,0.140207963202623,0.892277241946143,0.569316405951646,0.405894002411298,2.66797463456275e-10,0.765819182342793,0.0581468939804907,0.00986082846323455,0.00362594956923155,5.24473832123001e-07,0.0229851019772524,0.00190890747189725,1,0.00391336092816551,0.876234926658017,0.01376864328291,0,0.00218644388461382,0.0193185738692847,0.430285447359294,0.17539272831969,0.099393226187182,0.26541760337756,0.389170184458922,0.195211747616827,0.751733246323669,0.189093623797881
"SG-009.fall",0.0901321762409941,0.683049873430625,0.734846789267688,0.725097148088584,0.516694367867149,0.00150747817932616,0.872279068593143,0.471930650980666,0.684451285766476,0.848855528262187,0.464724882436014,6.06531291627354e-05,0.927152733780165,0.000530866044763956,0.548146397545737,0.938945008334281,7.64521166517515e-08,0.0139511801939473,0.149122455364151,0.744421008778654,0.245748662466525,0.776039358874917,0.533315517570522,0.606155882640711,0.568359254043849,0.537478281255761,0.00391336092816551,1,0.881454962338213,0.814024611227546,0.000831259697992612,0.0188751130410451,0.797082849513996,3.6731973409626e-05,0.540117699784767,0.000152304209822636,0,2.75052695669702e-05,7.61979084201124e-08,0.404925662286013,0.000127581499897124
"SG-010.fall",0.64426359210986,0.72950728295579,0.655780724885781,0.670287512983066,0.392024254281837,0.758179773627027,0.863475247209738,0.951680354674406,0.515858336667418,0.893320606307085,0.466048266158992,0.91816878973275,0.85627209573047,0.927258313056495,0.574222291641418,0.817669238574558,0.919933816325245,0.722119767281223,0.493404560877937,0.848738387018793,0.342354481640621,0.611563936560832,0.562780360093129,0.757762841645302,0.339828003783065,0.537273750445963,0.876234926658017,0.881454962338213,1,0.706758820057773,0.190991028189265,0.67234672591904,0.608442162915991,0.930564286909154,0.519741266791716,0.805737778027289,0.921122490837946,0.906517582183315,0.885152332925498,0.954597777892958,0.730200398808643
"SG-011.fall",0.485885137684596,0.605120707915044,0.798256514093982,0.963961965160132,0.883927499467621,0.00868882929536079,0.70474177200224,0.367254207497034,0.920546811337578,0.634786875257446,0.740769483396322,0.00164411788124134,0.78797560491445,0.0014755604649091,0.69051073805633,0.955908718160198,3.55376125127024e-06,0.00439257733815289,0.513248675631194,0.837078996618185,0.343594756674762,0.772278324549071,0.677086151963399,0.961557707313941,0.863692099269606,0.903712003803159,0.01376864328291,0.814024611227546,0.706758820057773,1,0.0434300908784367,0.0862607705183907,0.981976670851847,2.53193281199886e-05,0.89252562927057,5.7918905132178e-05,0,2.52542778280204e-05,0,0.386147772022634,3.16593410832043e-05
