"animal1","animal2","overlap.low","overlap","overlap.high","s1","s2","sexes","animals"
"102","SG-004","SG-001_2",0.235673857343785,0.41658912764722,0.639292124065346,"M","M","MM","SG-004.SG-001_2"
"103","SG-004","SG-002",0.534073683621329,0.752998236876657,0.927305447767197,"M","M","MM","SG-004.SG-002"
"104","SG-004","SG-003",0.605126735081445,0.769150066186509,0.904981273606859,"M","M","MM","SG-004.SG-003"
"106","SG-004","SG-005",0.287580084852783,0.451272994369801,0.640697895720794,"M","F","MF","SG-004.SG-005"
"107","SG-004","SG-006",0.333475987789053,0.447706950460447,0.574343184377933,"M","M","MM","SG-004.SG-006"
"108","SG-004","SG-007",0.287612350543547,0.480593274013502,0.701590576587396,"M","F","MF","SG-004.SG-007"
"109","SG-004","SG-008",0.000216690583408652,0.00109955610140567,0.00469997089468369,"M","F","MF","SG-004.SG-008"
"110","SG-004","SG-009",0.352821098293674,0.524224283127722,0.709188737269956,"M","F","MF","SG-004.SG-009"
"111","SG-004","SG-010",0.00487691319723449,0.0526433778749322,0.282611778375245,"M","M","MM","SG-004.SG-010"
"112","SG-004","SG-011",0.318029839557239,0.476451006718446,0.65426648985296,"M","M","MM","SG-004.SG-011"
"113","SG-004","SG-012",0.133305310059924,0.330682344376445,0.626214897773923,"M","M","MM","SG-004.SG-012"
"114","SG-004","SG-013",0.455697605953342,0.629287616441311,0.798544091722113,"M","M","MM","SG-004.SG-013"
"115","SG-004","SG-014",0.341700867131151,0.533119810022534,0.739284159441577,"M","M","MM","SG-004.SG-014"
"116","SG-004","SG-015",0,0,0,"M","F","MF","SG-004.SG-015"
"117","SG-004","SG-016",0.371916617392869,0.554054210775748,0.745460208850799,"M","F","MF","SG-004.SG-016"
"118","SG-004","SG-017",1.81156104016959e-09,3.56620497132923e-07,3.17056170787677e-05,"M","F","MF","SG-004.SG-017"
"119","SG-004","SG-018",0,0,0,"M","F","MF","SG-004.SG-018"
"120","SG-004","SG-019",1.35692199777937e-07,1.61989374015968e-06,1.56933901947728e-05,"M","M","MM","SG-004.SG-019"
"121","SG-004","SG-020",0,0,0,"M","F","MF","SG-004.SG-020"
"122","SG-004","SG-021",0.196652589649695,0.350175837370946,0.550200218141931,"M","M","MM","SG-004.SG-021"
"123","SG-004","SG-022",2.95223398594071e-11,5.83295209615971e-09,6.06274532925447e-07,"M","M","MM","SG-004.SG-022"
"124","SG-004","SG-023",0.0740734316348232,0.297795650934257,0.705948819043026,"M","M","MM","SG-004.SG-023"
"125","SG-004","SG-025",1.511157044975e-06,0.000342713717993137,0.0192866231798725,"M","M","MM","SG-004.SG-025"
"126","SG-005","SG-001",0.391626809386192,0.497671734097018,0.610698872793324,"F","M","MF","SG-005.SG-001"
"127","SG-005","SG-001_2",0.344898524771115,0.469521260628776,0.606667246870368,"F","M","MF","SG-005.SG-001_2"
"128","SG-005","SG-002",0.0974590226819702,0.33208703160198,0.717942814563346,"F","M","MF","SG-005.SG-002"
"129","SG-005","SG-003",0.346848623560645,0.467534745915343,0.60013164207922,"F","M","MF","SG-005.SG-003"
"130","SG-005","SG-004",0.287580084852783,0.451272994369801,0.640697895720794,"F","M","MF","SG-005.SG-004"
"132","SG-005","SG-006",0.646489657549767,0.714270912208568,0.77913248210138,"F","M","MF","SG-005.SG-006"
"133","SG-005","SG-007",0.669138363033263,0.819404076998411,0.935077687397902,"F","F","FF","SG-005.SG-007"
"134","SG-005","SG-008",0,0,0,"F","F","FF","SG-005.SG-008"
"135","SG-005","SG-009",0.472577090978275,0.561761392146262,0.652985198497646,"F","F","FF","SG-005.SG-009"
"136","SG-005","SG-010",0.00220351854605235,0.0156770279236108,0.0766233660311314,"F","M","MF","SG-005.SG-010"
"137","SG-005","SG-011",0.679341999434564,0.771138809282512,0.853803445663049,"F","M","MF","SG-005.SG-011"
"138","SG-005","SG-012",0.160222254465593,0.419980090320398,0.770115307605306,"F","M","MF","SG-005.SG-012"
"139","SG-005","SG-013",0.140843855243259,0.323564135849982,0.592008457724831,"F","M","MF","SG-005.SG-013"
"140","SG-005","SG-014",0.755675453706986,0.837261482021854,0.906446470846091,"F","M","MF","SG-005.SG-014"
"141","SG-005","SG-015",0,0,0,"F","F","FF","SG-005.SG-015"
"142","SG-005","SG-016",0.691511883158554,0.849738862317514,0.96037348402864,"F","F","FF","SG-005.SG-016"
"143","SG-005","SG-017",0,0,0,"F","F","FF","SG-005.SG-017"
"144","SG-005","SG-018",0,0,0,"F","F","FF","SG-005.SG-018"
"145","SG-005","SG-019",1.33465817213821e-06,9.41067027756726e-06,5.70905706917706e-05,"F","M","MF","SG-005.SG-019"
"146","SG-005","SG-020",0,0,0,"F","F","FF","SG-005.SG-020"
"147","SG-005","SG-021",0.0922268975433361,0.225927287158859,0.448996982042571,"F","M","MF","SG-005.SG-021"
"148","SG-005","SG-022",0,0,0,"F","M","MF","SG-005.SG-022"
"149","SG-005","SG-023",0.188036507763025,0.486780252412924,0.846683792791504,"F","M","MF","SG-005.SG-023"
"150","SG-005","SG-025",0,0,0,"F","M","MF","SG-005.SG-025"
"151","SG-006","SG-001",0.701539093452348,0.771399992661064,0.835899385830684,"M","M","MM","SG-006.SG-001"
"152","SG-006","SG-001_2",0.367923071827188,0.456562753953343,0.552052267634766,"M","M","MM","SG-006.SG-001_2"
"153","SG-006","SG-002",0.200891883038669,0.404470348879874,0.667622598397483,"M","M","MM","SG-006.SG-002"
"154","SG-006","SG-003",0.419007540415544,0.50177416962165,0.588590787326493,"M","M","MM","SG-006.SG-003"
"155","SG-006","SG-004",0.333475987789053,0.447706950460447,0.574343184377933,"M","M","MM","SG-006.SG-004"
"156","SG-006","SG-005",0.646489657549767,0.714270912208568,0.77913248210138,"M","F","MF","SG-006.SG-005"
"158","SG-006","SG-007",0.807043096533121,0.904512146915583,0.971129067396379,"M","F","MF","SG-006.SG-007"
"159","SG-006","SG-008",0.0324466521991221,0.0655891693909686,0.122403738982192,"M","F","MF","SG-006.SG-008"
"160","SG-006","SG-009",0.43693104065616,0.501047709912937,0.567592897736188,"M","F","MF","SG-006.SG-009"
"161","SG-006","SG-010",0.0451758534176407,0.108819888138569,0.226713366083737,"M","M","MM","SG-006.SG-010"
"162","SG-006","SG-011",0.743760172480913,0.828392348899388,0.900640862802081,"M","M","MM","SG-006.SG-011"
"163","SG-006","SG-012",0.180379898030598,0.372354890353678,0.630809090735496,"M","M","MM","SG-006.SG-012"
"164","SG-006","SG-013",0.262281126166663,0.440711721684204,0.652787828268321,"M","M","MM","SG-006.SG-013"
"165","SG-006","SG-014",0.719632710709869,0.832190091583225,0.922784723128161,"M","M","MM","SG-006.SG-014"
"166","SG-006","SG-015",0.0159223508498558,0.0393662285957461,0.0871601830791596,"M","F","MF","SG-006.SG-015"
"167","SG-006","SG-016",0.860815597608701,0.944211764214753,0.991073349702963,"M","F","MF","SG-006.SG-016"
"168","SG-006","SG-017",0.00310215045586482,0.0141923266306395,0.0516050723716775,"M","F","MF","SG-006.SG-017"
"169","SG-006","SG-018",0.00204134454881563,0.00835263650745707,0.0285558215180238,"M","F","MF","SG-006.SG-018"
"170","SG-006","SG-019",0.00699216749600179,0.0211735011289761,0.0558351596804728,"M","M","MM","SG-006.SG-019"
"171","SG-006","SG-020",0.00938197191572625,0.0260064770446226,0.0636748977857624,"M","F","MF","SG-006.SG-020"
"172","SG-006","SG-021",0.201805081312793,0.345807237721986,0.531189312957267,"M","M","MM","SG-006.SG-021"
"173","SG-006","SG-022",0.00194971251169644,0.0132239412429473,0.063396420386934,"M","M","MM","SG-006.SG-022"
"174","SG-006","SG-023",0.152391799023422,0.443958464340529,0.82796737248117,"M","M","MM","SG-006.SG-023"
"175","SG-006","SG-025",0.0020050843003902,0.0305384713510646,0.213465417550028,"M","M","MM","SG-006.SG-025"
"176","SG-007","SG-001",0.641273096910013,0.836734703261109,0.967719789483663,"F","M","MF","SG-007.SG-001"
"177","SG-007","SG-001_2",0.230967115456749,0.428618018594209,0.672465264911379,"F","M","MF","SG-007.SG-001_2"
"178","SG-007","SG-002",0.131722873095941,0.382036155744886,0.747365167467502,"F","M","MF","SG-007.SG-002"
"179","SG-007","SG-003",0.298212288647003,0.539504622317826,0.800690243144066,"F","M","MF","SG-007.SG-003"
"180","SG-007","SG-004",0.287612350543547,0.480593274013502,0.701590576587396,"F","M","MF","SG-007.SG-004"
"181","SG-007","SG-005",0.669138363033263,0.819404076998411,0.935077687397902,"F","F","FF","SG-007.SG-005"
"182","SG-007","SG-006",0.807043096533121,0.904512146915583,0.971129067396379,"F","M","MF","SG-007.SG-006"
"184","SG-007","SG-008",2.7184029726629e-05,0.000471089856399182,0.00522429515358162,"F","F","FF","SG-007.SG-008"
"185","SG-007","SG-009",0.313828126692853,0.502711926143889,0.712928143083873,"F","F","FF","SG-007.SG-009"
"186","SG-007","SG-010",0.00532054008614107,0.0525745508884684,0.27033872645648,"F","M","MF","SG-007.SG-010"
"187","SG-007","SG-011",0.545110486406476,0.730358922105578,0.889438544984176,"F","M","MF","SG-007.SG-011"
"188","SG-007","SG-012",0.198864522783564,0.419396139264405,0.703194505319613,"F","M","MF","SG-007.SG-012"
"189","SG-007","SG-013",0.191639713353741,0.409981913829168,0.695080259788343,"F","M","MF","SG-007.SG-013"
"190","SG-007","SG-014",0.572253108042968,0.747746054768053,0.896042030378295,"F","M","MF","SG-007.SG-014"
"191","SG-007","SG-015",8.4198257198859e-06,0.000363626856411937,0.00760809813982959,"F","F","FF","SG-007.SG-015"
"192","SG-007","SG-016",0.885344397369355,0.989046516719765,1,"F","F","FF","SG-007.SG-016"
"193","SG-007","SG-017",5.99541854629741e-06,0.000268561653612128,0.00588549551330066,"F","F","FF","SG-007.SG-017"
"194","SG-007","SG-018",0,0,0,"F","F","FF","SG-007.SG-018"
"195","SG-007","SG-019",0.000129710146564647,0.0012612118219556,0.00881932768483443,"F","M","MF","SG-007.SG-019"
"196","SG-007","SG-020",6.26872225961971e-06,0.000179516643936777,0.0029809026311893,"F","F","FF","SG-007.SG-020"
"197","SG-007","SG-021",0.10624655081842,0.272102387030633,0.540875674839405,"F","M","MF","SG-007.SG-021"
"198","SG-007","SG-022",4.19010916479105e-06,0.000233429002197955,0.00595653850892822,"F","M","MF","SG-007.SG-022"
"199","SG-007","SG-023",0.125737213799018,0.430758650301311,0.85078333702539,"F","M","MF","SG-007.SG-023"
"200","SG-007","SG-025",8.82692987477466e-06,0.00272311907318972,0.122086289305466,"F","M","MF","SG-007.SG-025"
"201","SG-008","SG-001",0,0,0,"F","M","MF","SG-008.SG-001"
"202","SG-008","SG-001_2",0.0250885574001771,0.0619759632763403,0.13499496332329,"F","M","MF","SG-008.SG-001_2"
"203","SG-008","SG-002",0.0144055866963881,0.0546598958831859,0.161667240588738,"F","M","MF","SG-008.SG-002"
"204","SG-008","SG-003",0.000681841973527633,0.00225965586677111,0.00673392688896812,"F","M","MF","SG-008.SG-003"
"205","SG-008","SG-004",0.000216690583408652,0.00109955610140567,0.00469997089468369,"F","M","MF","SG-008.SG-004"
"206","SG-008","SG-005",0,0,0,"F","F","FF","SG-008.SG-005"
"207","SG-008","SG-006",0.0324466521991221,0.0655891693909686,0.122403738982192,"F","M","MF","SG-008.SG-006"
"208","SG-008","SG-007",2.7184029726629e-05,0.000471089856399182,0.00522429515358162,"F","F","FF","SG-008.SG-007"
"210","SG-008","SG-009",0.00336843197625432,0.00772745171037765,0.0166180087429509,"F","F","FF","SG-008.SG-009"
"211","SG-008","SG-010",0.793454744976964,0.871807135407092,0.934822860568175,"F","M","MF","SG-008.SG-010"
"212","SG-008","SG-011",0.042221193062528,0.104412303770158,0.222046017404231,"F","M","MF","SG-008.SG-011"
"213","SG-008","SG-012",0,0,0,"F","M","MF","SG-008.SG-012"
"214","SG-008","SG-013",0.00330506669237975,0.0136488970842141,0.0461463107813931,"F","M","MF","SG-008.SG-013"
"215","SG-008","SG-014",0.00582247709060414,0.0373081165230504,0.15837073165904,"F","M","MF","SG-008.SG-014"
"216","SG-008","SG-015",0.697827757801526,0.769505239305483,0.835635649002589,"F","F","FF","SG-008.SG-015"
"217","SG-008","SG-016",0.00692531268433353,0.0865270263881858,0.444672067073135,"F","F","FF","SG-008.SG-016"
"218","SG-008","SG-017",0.214827414835594,0.333384759179623,0.480884423918267,"F","F","FF","SG-008.SG-017"
"219","SG-008","SG-018",0.304684744602781,0.500015670856173,0.718844686414259,"F","F","FF","SG-008.SG-018"
"220","SG-008","SG-019",0.260129661765509,0.380837368268785,0.52365556635982,"F","M","MF","SG-008.SG-019"
"221","SG-008","SG-020",0.306975352240123,0.380001407422782,0.460621006435747,"F","F","FF","SG-008.SG-020"
"222","SG-008","SG-021",0.582090154622952,0.724457975425659,0.852408819984725,"F","M","MF","SG-008.SG-021"
"223","SG-008","SG-022",0.197951717775269,0.357519504357305,0.565354716178732,"F","M","MF","SG-008.SG-022"
"224","SG-008","SG-023",0.0567749599707441,0.359601215892116,0.886582455491422,"F","M","MF","SG-008.SG-023"
